CQI Index,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Notes
Target Coding Rate,,,OOR,0.0391,0.0762,0.1172,0.1885,0.3008,0.4385,0.5879,0.3691,0.4785,0.6016,0.4551,0.5337,0.6504,0.7439,0.8525,
Modulation,,,OOR,,,,QPSK,,,,16QAM,,,,64QAM,,,,
MCS Scheme,PRB,AvailableRE-s,Imcs,,,,,,,,,,,,,,,,
MCS.40,1,126,DTX,0,0,0,1,4,5,8,12,14,16,18,21,23,25,27,
Note 1:Mapping between Imcs and TBS according to Tables 7.1.7.1-1 and 7.1.7.2.1-1 in TS 36.213 [6].Note 2:startSymbolBR = 3,,,,,,,,,,,,,,,,,,,
