Parameter,Unit,Value,
Channel bandwidth,MHz,10,20
Allocated resource blocks,,50,100
DFT-OFDM Symbols per Sub-Frame,,12,12
Modulation,,64QAM,64QAM
Target Coding rate,,3/4,3/4
Payload size,Bits,31704,63776
Transport block CRC,Bits,24,24
Number of code blocks per Sub-Frame(Note 1),,8,11
Total number of bits per Sub-Frame,Bits,43200,86400
Total symbols per Sub-Frame,,7200,14400
UE Category (Note 2),,"5,8","5,8"
UE UL Category (Note 2),,"5,8,13, 14","5,8,13, 14"
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:If UE does not report UE UL category, then the applicability of reference channel is determined by UE category. If UE reports UE UL category, then the applicability of reference channel is determined by UE UL category.",,,
