Allocation,Relative power level  [dB],,,PDSCH Data,PMCH Data
,Subframe,,,,
,0,5,"1 – 4, 6 – 9",,
First unallocated PRB–Last unallocated PRB,0,0(Allocation: all empty PRB-s),N/A,Note 1,N/A
First unallocated PRB–Last unallocated PRB,N/A,N/A,N/A,N/A,Note 2
"Note 1:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated. The parameteris used to scale the power of PDSCH.Note 2:Each physical resource block (PRB) is assigned to MBSFN transmission. The data in each PRB shall be uncorrelated with data in other PRBs over the period of any measurement. The MBSFN data shall be QPSK modulated. PMCH subframes shall not contain any cell-specific Reference Signals. The parameteris used to scale the power of PMCH.Note 3: If two or more transmit antennas are used in the test, the OCNG shall be transmitted to the virtual users by all the transmit antennas according to transmission mode 2. The transmit power shall be equally split between all the transmit antennas used in the test. The antenna transmission modes are specified in section 7.1 in 3GPP TS 36.213.N/A:Not Applicable",,,,,
