Duplex,Table,Name,BW(KHz),Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,,,,,,,,,
HD-FDD,Table A.3.14-1,R.NB.1 FDD,200,QPSK,,,,NB1,
HD-FDD,Table A.3.14-1,R.NB.2 FDD,200,QPSK,,,,NB1,
