Parameter,,Unit,Value,,,
Reference channel,,R.70 FDD,,R.71 FDD,,
Channel bandwidth,MHz,10,,10,,
Allocated resource blocks,,50,,50,,
Allocated subframes per Radio Frame,,10,,10,,
Modulation,,QPSK,,16QAM,,
Target Coding Rate,,0.65,,0.6,,
Information Bit Payload,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,6968,,12960,,
For Sub-Frame 5,Bits,N/A,,N/A,,
For Sub-Frame 0,Bits,N/A,,N/A,,
Number of Code Blocks per Sub-Frame(Note 4),,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,2,,3,,
For Sub-Frame 5,,N/A,,N/A,,
For Sub-Frame 0,,N/A,,N/A,,
Binary Channel Bits Per Sub-Frame,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,10800,,21600,,
For Sub-Frame 5,Bits,N/A,,N/A,,
For Sub-Frame 0,Bits,N/A,,N/A,,
Max. Throughput averaged over 1 frame,Mbps,5.5744,,10.368,,
UE Category,,≥ 1,,≥ 2,,
"Note 1:3 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,,,,,
