Allocation,Relative power level  [dB],,,,PDSCH Data,PMCH Data
,Subframe,,,,,
,0,5,"4, 9Note 2","1, 6",,
1 – 49,0,0(Allocation: all empty PRB-s),N/A,0,Note 1,N/A
0 – 49,N/A,N/A,0,N/A,N/A,Note 3
"Note 1: These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated. The parameteris used to scale the power of PDSCH.Note 2: Subframes available for DL transmission depends on the Uplink-Downlink configuration in Table 4.2-2 in 3GPP TS 36.211.Note 3: Each physical resource block (PRB) is assigned to MBSFN transmission. The data in each PRB shall be uncorrelated with data in other PRBs over the period of any measurement. The MBSFN data shall be QPSK modulated. PMCH symbols shall not contain cell-specific Reference Signals.Note 4:If two or more transmit antennas are used in the test, the OCNG shall be transmitted to the virtual users by all the transmit antennas according to transmission mode 2. The transmit power shall be equally split between all the transmit antennas used in the test. The antenna transmission modes are specified in section 7.1 in 3GPP TS 36.213.N/ANot Applicable",,,,,,
