CQI Index,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Notes
Target Coding Rate,,,OOR,0.0547,0.2021,0.2598,0.1904,0.1387,0.2598,0.4424,0.6221,0.4131,0.5439,0.6797,0.8252,0.6357,0.7617,0.8672,
Modulation,,,OOR,,,,QPSK,,,,16QAM,,,,64QAM,,,,
MCS Scheme,PRB,AvailableRE-s,Imcs,,,,,,,,,,,,,,,,
MCS.41,3,378,DTX,0,2,3,2,1,3,7,9,12,15,16,16,22,25,27,
Note 1:Mapping between Imcs and TBS according to Tables 7.1.7.1-1 and 7.1.7.2.1-1 in TS 36.213 [6].Note 2:startSymbolBR = 3,,,,,,,,,,,,,,,,,,,
