Parameter,Ch BW,Allocated RBs,DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,Payload size,Transport block CRC,Number of code blocks per Sub-Frame (Note 1),Total number of bits per Sub-Frame,Total symbols per Sub-Frame,UE Category
Unit,MHz,,,,,Bits,Bits,,Bits,,
,10 - 20,10,12,QPSK,1/3,872,24,1,2880,1440,≥ 1
,10 - 20,20,12,QPSK,1/3,1736,24,1,5760,2880,≥ 1
,10 - 20,30,12,QPSK,1/3,2664,24,1,8640,4320,≥ 1
,10 - 20,40,12,QPSK,1/3,4136,24,1,11520,5760,≥ 1
,20,50,12,QPSK,1/3,5160,24,1,14400,7200,≥ 1
,20,60,12,QPSK,1/4,4264,24,1,17280,8640,≥ 1
,20,70,12,QPSK,1/4,4968,24,1,20160,10080,≥ 1
,20,80,12,QPSK,1/5,4776,24,1,23040,11520,≥ 1
,20,90,12,QPSK,1/6,4008,24,1,25920,12960,≥ 1
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:For the channel bandwidth of 10Mhz, the allocated RBs are distributed over the channel bandwidth at the RB index = {N, N+5, N+10, …, N+45 for N = 0, …, NInterlace-1 } where NInterlace is 1, …, 4 for the allocated RBs of 10, …, 40, respectively.Note 3:For the channel bandwidth of 20Mhz, the allocated RBs are distributed over the channel bandwidth at the RB index = {N, N+10, N+20, …, N+90 for N = 0, …, NInterlace-1 } where NInterlace is 1, .., 9 for the allocated RBs of 10, …, 90, respectively.",,,,,,,,,,,
