Correlation type,,,,
High,0.9,0.9,0.9,0.3
Medium,0.3,0.3,0.6,0.2
Note 1:Value of α1 applies when more than one pair of cross-polarized antenna elements in first dimension at eNB side.Note 2:Value of α2 applies when more than one pair of cross-polarized antenna elements in second dimension at eNB side.Note 3:Value of β applies when more than one pair of cross-polarized antenna elements at UE side.,,,,
