Parameter,Unit,Value
NB-IoT downlink subframe bitmap for anchor carrier (downlinkBitmap),,Not configued
NB-IoT downlink subframe bitmap for non-anchor carrier (downlinkBitmapNonAnchor),,Not configured
Downlink gap configuration for anchor carrier (dl-Gap),,Not configured
Downlink gap configuration for non-anchor carrier(dl-GapNonAnchor),,Not configured
