Duplex,Table,Name,BW(KHz),Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,,,,,,,,,
HD-FDD,Table A.3.13.1-1,R.NB.3 FDD,200,QPSK,,,,NB1,
HD-FDD,Table A.3.13.1-1,R.NB.4 FDD,200,QPSK,,,,NB1,
