Physical Channel,EPRE Ratio
PBCH,PBCH_RA = A+
,PBCH_RB = B+
PSS,PSS_RA = 0 (Note 3)
SSS,SSS_RA = 0 (Note 3)
PCFICH,PCFICH_RB = B+
PDCCH,PDCCH_RA = A+
,PDCCH_RB = B+
EPDCCH,EPDCCH_RA = A+δ
,EPDCCH_RB = B+δ
MPDCCH,MPDCCH_RA = A+δ
,MPDCCH_RB = B+δ
SPDCCH (CRS-based),SPDCCH_RA = A+
,SPDCCH_RB = B+
SPDCCH (DMRS-based),SPDCCH_RA = A+δ
,SPDCCH_RB = B+δ
PDSCH,PDSCH_RA = A
,PDSCH_RB = B
PMCH,PMCH_RA = A
,PMCH_RB = B
MBSFN RS,MBSFN RS_RA = A
,MBSFN RS_RB = B
OCNG,OCNG_RA = A+
,OCNG_RB = B+
