Parameter,Unit,Value,,,,,,,
Reference channel,,CD.13,CD.14,CD.15,CD.16,CD.17,CD.18,CD.19,CD.20
Channel bandwidth,MHz,20,10,20,10,20,10,20,10
Allocated resource blocks,,8,3,96,48,8,8,3,3
DFT-OFDM Symbols per subframe (see Note 1),,9,9,9,9,9,9,9,9
Modulation,,64QAM,QPSK,64QAM,64QAM,QPSK,QPSK,QPSK,QPSK
Transport Block Size,Bits,2600,120,48936,24496,408,408,120,120
Transport block CRC,Bits,24,24,24,24,24,24,24,24
Number of PSSCH transmissions,,2,2,2,2,1,1,1,1
Binary Channel Bits (see Note 2),Bits,5184,648,62208,31104,1728,1728,648,648
"Note 1:PSSCH transmissions are rate-matched for 9 DFT-OFDM symbols per subframe.Note 2:Binary Channel Bits are calculated under assumption of 9 symbols.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,,,
