Parameter,PMCH,,
,Unit,Value,
Reference channel,,R.108-1 FDD,R.108-2 FDD
Channel bandwidth,MHZ,8,8
Subcarrier spacing,kHz,1.25,1.25
Allocated resource blocks,,39,39
Allocated slots per 40 ms (Note 1),,32,39
"Time domain spreading and scaling (M, N)",,"(8, 4)","(32, 16)"
Frequency domain interleaving,,EnabledCodebook cycling disabled,Enabled Codebook cycling disabled
Modulation,,16QAM,QPSK
Target coding rate,,0.41,0.3
Information bit payload (Note 2),,,
For each slot,Bits,31704,45352
Number of code blocks per subframe,,6,6
Binary channel bits per subframe,,,
For each slot,Bits,19200,9600
Transport block size before scaling with N,Bits,7992,2825
Transport block size after scaling with N,Bits,31704,45353
MBMS UE category,,,
"Note 1:       First subframe every 40 ms is allocated for non-MBMS transmissionNote 2:       Zero OFDM symbols are reserved for PDCCH and no CRS allocated as per TS 36.211 [4]Note 3:       If more than one Code Block is present, an additional CRC sequence of L = 24 bits is                     allocated to each Code Block (otherwise L = 0 bits)",,,
