Physical Channel,EPRE Ratio
PBCH,PBCH_RA = 0 dB
,PBCH_RB = 0 dB
PSS,PSS_RA = 0 dB
SSS,SSS_RA = 0 dB
PCFICH,PCFICH_RB = 0 dB
PDCCH,PDCCH_RA = 0 dB
,PDCCH_RB = 0 dB
PDSCH,PDSCH_RA = 0 dB
,PDSCH_RB = 0 dB
OCNG,OCNG_RA = 0 dB
,OCNG_RB = 0 dB
