Parameter,Unit,Value,
Reference channel,,CD.6 FDD,CD.7 FDD
Channel bandwidth,MHz,5,10
Allocated resource blocks,,25,50
Subcarriers per resource block,,12,12
DFT-OFDM Symbols per subframe (see Note 1),,11,11
Modulation,,16QAM,16QAM
Transport Block Size,,15840,25456
Transport block CRC,Bits,24,24
Maximum number of HARQ transmissions,,4,4
"Binary Channel Bits (see Note 1,2)",Bits,13200,26400
Max. Throughput averaged over one sc-period (bits/sc-period),,15840,25456
"Note 1:PSSCH transmissions are rate-matched for 12 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.Note 2:Binary channel bits per HARQ transmission.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,
