Parameter,PMCH (0.37 kHz SCS),,,,,,
,Unit,Value,,,,,
Reference channel,,R.PMCH.19,R.PMCH.20,R.PMCH.21,R.PMCH.22,R.PMCH.23,R.PMCH.24
PMCH bandwidth,MHz,6,7,8,6,7,8
Allocated resource blocks,,30,35,40,30,35,40
Allocated subframes per 40ms (Note 1),,13,13,13,13,13,13
Modulation,,QPSK,QPSK,QPSK,64QAM,64QAM,64QAM
Target Coding Rate,,1/3,1/3,1/3,3/4,3/4,3/4
Information Bit Payload,,,,,,,
For each slot,Bits,9258   (MCS 6),11064 (MCS6),12576 (MCS6),57336 (MCS25),66592 (MCS25),78704 (MCS25)
Number of Code Blocks per Sub-Frame (Note 2),,5,6,6,14,16,18
Binary Channel Bits Per Subframe,,,,,,,
For each slot,Bits,26760,31220,35680,80280,93660,107040
MBMS UE Category,,≥ 1,≥ 1,≥ 1,≥ 2,≥ 2,≥ 2
"Note 1:First subframe of every 40ms is allocated for non-MBMS transmission.Note 2If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
