Parameter,Ch BW,Allocated RBs,DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,Payload size,Trans-port block CRC,Number of code blocks per Sub-Frame (Note 1),Total number of bits per Sub-Frame,Total symbols per Sub-Frame,UE Category
Unit,MHz,,,,,Bits,Bits,,Bits,,
,1.4 - 20,1,12,QPSK,1/3,72,24,1,288,144,M1
,1.4 - 20,2,12,QPSK,1/3,176,24,1,576,288,M1
,1.4 - 20,3,12,QPSK,1/3,256,24,1,864,432,M1
,1.4 - 20,4,12,QPSK,1/3,392,24,1,1152,576,M1
,1.4 - 20,5,12,QPSK,1/3,424,24,1,1440,720,M1
,3-20,6,12,QPSK,1/3,600,24,1,1728,864,M1
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 2:For HD-FDD UE, the uplink subframes are scheduled at the 4th, 5th and 6th subframes every 10ms for the channel bandwidth 5MHz/10MHz/15MHz/20MHz. For HD-FDD UE, the uplink subframes are scheduled at the 5th, 6th and 7th subframes every 10ms for the channel bandwidth 1.4MHz/3MHz. Information bit payload is available if uplink subframe is scheduled.",,,,,,,,,,,
