Bit field mapped to index,"SRI(s),",Bit field mapped to index,"SRI(s),",Bit field mapped to index,"SRI(s),"
0,0,0,0,0,0
1,1,1,1,1,1
0,"0,1",2,2,2,2
1,2 layers: reserved,3,1 layer: reserved,3,3
,,0,"0,1",4-7,1 layer: reserved
,,1,"0,2",0,"0,1"
,,2,"1,2",1,"0,2"
,,3,2 layers: reserved,2,"0,3"
,,,,3,"1,2"
,,,,4,"1,3"
,,,,5,"2,3"
,,,,6-7,2 layers: reserved
