Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,2,0-3
1,3,0-3
2,1,"0,1,12,13"
3,2,"0,1,12,13"
4,2,"2,3,14,15"
5,3,"0,1,12,13"
6,3,"2,3,14,15"
7,3,"4,5,16,17"
8-31,Reserved,Reserved
