Field,Bitwidth
Rank Indicator,"min2,log2nRI"
Wide-band CQI,4
Subband differential CQI,2
"Indicator of the total number of non-zero coefficients summed across all layers, and all CSI-RS resources if configured, KNZ","if max allowed rank is 1; otherwiselog2βMK1,max log22βMK1,max"
"NOTE: is the number of allowed rank indicator values according to Clause 5.2.2.2.9 TS 38.214 [6] is the maximum of  for all  configured  combinations, where , , and  are given by Clause 5.2.2.2.9 in TS 38.214 [6], and. The values of the rank indicator field are mapped to allowed rank indicator values with increasing order, where '0' is mapped to the smallest allowed rank indicator value. The values of the  indicator field are mapped to the allowed values of , according to Clause 5.2.2.2.9 TS 38.214 [6], with increasing order, where '0' is mapped to .nRI, K1,maxn=1NTRPK1, nNLαnK1.nn=1,…, NTRPMβKNZKNZKNZ=1",
