Bit field mapped to index,"Available slot offset, K=2",Bit field mapped to index,"Available slot offset, K=3",Bit field mapped to index,"Available slot offset, K=4"
0,"The 1st entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise",0,"The 1st entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise",0,"The 1st entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise"
1,"The 2nd entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise",1,"The 2nd entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise",1,"The 2nd entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise"
,,2,"The 3rd entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise",2,"The 3rd entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise"
,,3,Reserved,3,"The 4th entry in availableSlotOffsetList, if configured for the aperiodic SRS resource set;0, otherwise"
