CSI report number,CSI fields
CSI report #nCSI part 2 wideband,"Wideband CQI for the second TB for the first CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C, if present and reported"
,"Layer Indicator for the first CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C, if reported"
,"PMI wideband information fields  for the first CRI among the non-reported MR CRIs, from left to right as in Tables 6.3.1.1.2-1, if reportedX1"
,"PMI wideband information fields  for the first CRI among the non-reported MR CRIs, from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports for the first CRI among the non-reported MR CRIs according to Clause 5.2.2.2.1 in [6, TS38.214], if pmi-FormatIndicator= widebandPMI and if reportedX2"
,…
,"Wideband CQI for the second TB for the MR-th CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C, if present and reported"
,"Layer Indicator for the MR-th CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C, if reported"
,"PMI wideband information fields  for the MR-th CRI among the non-reported MR CRIs, from left to right as in Tables 6.3.1.1.2-1, if reportedX1"
,"PMI wideband information fields  for the MR-th CRI among the non-reported MR CRIs, from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports for the MR-th CRI among the non-reported MR CRIs according to Clause 5.2.2.2.1 in [6, TS38.214], if pmi-FormatIndicator= widebandPMI and if reportedX2"
,…
,"Wideband CQI for the second TB for the first reported CRI as in Tables 6.3.2.1.2-8C, if present and reported"
,"Layer Indicator for the first reported CRI as in Tables 6.3.2.1.2-8C, if reported"
,"PMI wideband information fields  for the first reported CRI, from left to right as in Tables 6.3.1.1.2-1, if reportedX1"
,"PMI wideband information fields  for the first reported CRI, from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports for the first reported CRI according to Clause 5.2.2.2.1 in [6, TS38.214], if pmi-FormatIndicator= widebandPMI and if reportedX2"
,…
,"Wideband CQI for the second TB for the (M-MR)-th reported CRI as in Tables 6.3.2.1.2-8C, if present and reported"
,"Layer Indicator for the (M-MR)-th reported CRI as in Tables 6.3.2.1.2-8C, if reported"
,"PMI wideband information fields  for the (M-MR)-th reported CRI, from left to right as in Tables 6.3.1.1.2-1, if reportedX1"
,"PMI wideband information fields  for the (M-MR)-th reported CRI, from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports for the (M-MR)-th reported CRI according to Clause 5.2.2.2.1 in [6, TS38.214], if pmi-FormatIndicator= widebandPMI and if reportedX2"
NOTE: MR is set to 0 if higher layer parameter [mrSelectedResources] is not configured for the CSI report.,
