Bit field mapped to index,Channel Access Type,"The CP extension T_""ext""  index defined in Clause 5.3.1 of [4, TS 38.211]"
0,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],2
1,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],3
2,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],1
3,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],0
