UCI bit sequence,CSI report number
,"CSI report #1, CSI part 2 wideband, as in Table 6.3.2.1.2-4/4A/4B/4C,or CSI part 2 with group 0, as in Table 6.3.2.1.2-5A/5B/5E/5F/5G/5J,if CSI part 2 exists for CSI report #1"
,"CSI report #2, CSI part 2 wideband, as in Table 6.3.2.1.2-4/4A/4B/4C,or CSI part 2 with group 0, as in Table 6.3.2.1.2-5A/5B/5E/5F/5G/5J,if CSI part 2 exists for CSI report #2"
,…
,"CSI report #n, CSI part 2 wideband, as in Table 6.3.2.1.2-4/4A/4B/4C,or CSI part 2 with group 0, as in Table 6.3.2.1.2-5A/5B/5E/5F/5G/5J,if CSI part 2 exists for CSI report #n"
,"CSI report #1, CSI part 2 subband, as in Table 6.3.2.1.2-5/5C/5D/5H/5I,or CSI part 2 with group 1 and 2, as in Table 6.3.2.1.2-5A/5B/5E/5F/5G/5J,if CSI part 2 exists for CSI report #1"
,"CSI report #2, CSI part 2 subband, as in Table 6.3.2.1.2-5/5C/5D/5H/5I,or CSI part 2 with group 1 and 2, as in Table 6.3.2.1.2-5A/5B/5E/5F/5G/5J,if CSI part 2 exists for CSI report #2"
,…
,"CSI report #n, CSI part 2 subband, as in Table 6.3.2.1.2-5/5C/5D/5H/5I,or CSI part 2 with group 1 and 2, as in Table 6.3.2.1.2-5A/5B/5E/5F/5G/5J,if CSI part 2 exists for CSI report #n"
"NOTE:For a CSI report #i containing  CSI sub-reports, where ,-CSI part 2 wideband of all CSI sub-reports are mapped to the corresponding segment of the UCI bit sequence of CSI report #i, from upper part to lower part of the segment, in increasing order of CSI sub-report number;-CSI sub-report #1, CSI sub-report #2, …, CSI sub-report # correspond to the CSI sub-reports in increasing order of reportSubConfigId.Nisubi∈{1,2,…,n}Nisub",
