SRI(s),"SRI(s) for 2 layers, NSRS=5","SRI(s) for 2 layers, NSRS=6","SRI(s) for 2 layers, NSRS=7","SRI(s) for 2 layers, NSRS=8"
"s00,s10","0,1","0,1","0,1","0,1"
"s01,s11","0,2","0,2","0,2","0,2"
"s02,s12","0,3","0,3","0,3","0,3"
"s03,s13","0,4","0,4","0,4","0,4"
"s04,s14","1,2","0,5","0,5","0,5"
"s05,s15","1,3","1,2","0,6","0,6"
"s06,s16","1,4","1,3","1,2","0,7"
"s07,s17","2,3","1,4","1,3","1,2"
"s08,s18","2,4","1,5","1,4","1,3"
"s09,s19","3,4","2,3","1,5","1,4"
"s010,s110",,"2,4","1,6","1,5"
"s011,s111",,"2,5","2,3","1,6"
"s012,s112",,"3,4","2,4","1,7"
"s013,s113",,"3,5","2,5","2,3"
"s014,s114",,"4,5","2,6","2,4"
"s015,s115",,,"3,4","2,5"
"s016,s116",,,"3,5","2,6"
"s017,s117",,,"3,6","2,7"
"s018,s118",,,"4,5","3,4"
"s019,s119",,,"4,6","3,5"
"s020,s120",,,"5,6","3,6"
"s021,s121",,,,"3,7"
"s022,s122",,,,"4,5"
"s023,s123",,,,"4,6"
"s024,s124",,,,"4,7"
"s025,s125",,,,"5,6"
"s026,s126",,,,"5,7"
"s027,s127",,,,"6,7"
