Bit field mapped to index,codebookSubset = partialAndNonCoherent,Bit field mapped to index,codebookSubset= nonCoherent
0,1 layer: TPMI=0,0,1 layer: TPMI=0
…,…,…,…
14,1 layer: TPMI=14,3,1 layer: TPMI=3
15,1 layer: TPMI=15,4,1 layer: TPMI=13
0,2 layers: TPMI=0,5-7,1 layer: reserved
…,…,0,2 layers: TPMI=0
13,2 layers: TPMI=13,…,…
14-15,2 layers: reserved,6,2 layers: TPMI=6
0,3 layers: TPMI=0,7,2 layers: reserved
…,…,0,3 layers: TPMI=0
2,3 layers: TPMI=2,1,3 layer: TPMI=1
3-15,3 layers: reserved,2-7,3 layers: reserved
0,4 layers: TPMI=0,0,4 layers: TPMI=0
…,…,1-7,4 layers: reserved
2,4 layers: TPMI=2,,
3-15,4 layers: reserved,,
