CSI report number,CSI fields
CSI report #nCSI part 1,"CRI as in Table 6.3.1.1.2-3A, if associated with one CSI-RS resource pair and if reported"
,"Rank Combination Indicator as in Table 6.3.1.1.2-3A, if reported"
,"Wideband CQI for the first TB as in Table 6.3.1.1.2-3A, if reported"
,"Subband differential CQI for the first TB with increasing order of subband number as in Table 6.3.1.1.2-3A, if reported"
,"CRI as in Tables 6.3.1.1.2-3B, if associated with one CSI-RS resource, numberOfSingleTRP-CSI-Mode1 = 1 and if reported;First CRI as in Table 6.3.1.1.2-3B, if associated with one CSI-RS resource, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Rank Indicator associated with CRI as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 1 and if reported;Rank Indicator associated with the first CRI as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Wideband CQI associated with CRI for the first TB as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 1 and if reported;Wideband CQI associated with the first CRI for the first TB as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Subband differential CQI associated with CRI for the first TB with increasing order of subband number as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 1 if reported;Subband differential CQI associated with the first CRI for the first TB with increasing order of subband number as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Second CRI as in Table 6.3.1.1.2-3B, if associated with one CSI-RS resource, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Rank Indicator associated with the second CRI as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Wideband CQI associated with the second CRI for the first TB as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Subband differential CQI associated with the second CRI for the first TB with increasing order of subband number as in Table 6.3.1.1.2-3B, if numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
NOTE:Subbands for given CSI report n indicated by the higher layer parameter csi-ReportingBand are numbered continuously in the increasing order with the lowest subband of csi-ReportingBand as subband 0.,
