Bit field mapped to index,TCI selection
0,The first indicated joint/DL TCI state is applied to the scheduled PDSCH
1,The second indicated joint/DL TCI state is applied to the scheduled PDSCH
2,Both indicated joint/DL TCI states are applied to the scheduled PDSCH
3,Reserved
