,"SRI(s) for 3 layers, NSRS=5","SRI(s) for 3 layers, NSRS=6","SRI(s) for 3 layers, NSRS=7","SRI(s) for 3 layers, NSRS=8"
"s00,s10,s20","0,1,2","0,1,2","0,1,2","0,1,2"
"s01,s11,s21","0,1,3","0,1,3","0,1,3","0,1,3"
"s02,s12,s22","0,1,4","0,1,4","0,1,4","0,1,4"
"s03,s13,s23","0,2,3","0,1,5","0,1,5","0,1,5"
"s04,s14,s24","0,2,4","0,2,3","0,1,6","0,1,6"
"s05,s15,s25","0,3,4","0,2,4","0,2,3","0,1,7"
"s06,s16,s26","1,2,3","0,2,5","0,2,4","0,2,3"
"s07,s17,s27","1,2,4","0,3,4","0,2,5","0,2,4"
"s08,s18,s28","1,3,4","0,3,5","0,2,6","0,2,5"
"s09,s19,s29","2,3,4","0,4,5","0,3,4","0,2,6"
"s010,s110,s210",,"1,2,3","0,3,5","0,2,7"
"s011,s111,s211",,"1,2,4","0,3,6","0,3,4"
"s012,s112,s212",,"1,2,5","0,4,5","0,3,5"
"s013,s113,s213",,"1,3,4","0,4,6","0,3,6"
"s014,s114,s214",,"1,3,5","0,5,6","0,3,7"
"s015,s115,s215",,"1,4,5","1,2,3","0,4,5"
"s016,s116,s216",,"2,3,4","1,2,4","0,4,6"
"s017,s117,s217",,"2,3,5","1,2,5","0,4,7"
"s018,s118,s218",,"2,4,5","1,2,6","0,5,6"
"s019,s119,s219",,"3,4,5","1,3,4","0,5,7"
"s020,s120,s220",,,"1,3,5","0,6,7"
"s021,s121,s221",,,"1,3,6","1,2,3"
"s022,s122,s222",,,"1,4,5","1,2,4"
"s023,s123,s223",,,"1,4,6","1,2,5"
"s024,s124,s224",,,"1,5,6","1,2,6"
"s025,s125,s225",,,"2,3,4","1,2,7"
"s026,s126,s226",,,"2,3,5","1,3,4"
"s027,s127,s227",,,"2,3,6","1,3,5"
"s028,s128,s228",,,"2,4,5","1,3,6"
"s029,s129,s229",,,"2,4,6","1,3,7"
"s030,s130,s230",,,"2,5,6","1,4,5"
"s031,s131,s231",,,"3,4,5","1,4,6"
"s032,s132,s232",,,"3,4,6","1,4,7"
"s033,s133,s233",,,"3,5,6","1,5,6"
"s034,s134,s234",,,"4,5,6","1,5,7"
"s035,s135,s235",,,,"1,6,7"
"s036,s136,s236",,,,"2,3,4"
"s037,s137,s237",,,,"2,3,5"
"s038,s138,s238",,,,"2,3,6"
"s039,s139,s239",,,,"2,3,7"
"s040,s140,s240",,,,"2,4,5"
"s041,s141,s241",,,,"2,4,6"
"s042,s142,s242",,,,"2,4,7"
"s043,s143,s243",,,,"2,5,6"
"s044,s144,s244",,,,"2,5,7"
"s045,s145,s245",,,,"2,6,7"
"s046,s146,s246",,,,"3,4,5"
"s047,s147,s247",,,,"3,4,6"
"s048,s148,s248",,,,"3,4,7"
"s049,s149,s249",,,,"3,5,6"
"s050,s150,s250",,,,"3,5,7"
"s051,s151,s251",,,,"3,6,7"
"s052,s152,s252",,,,"4,5,6"
"s053,s153,s253",,,,"4,5,7"
"s054,s154,s254",,,,"4,6,7"
"s055,s155,s255",,,,"5,6,7"
