Bit field,Short Message indicator
00,"Only indication of availability of the PRACH resource configured by rach-Config-Adapt is present in the DCI, if rach-Config-Adapt is configured; reserved otherwise"
01,"Only scheduling information for Paging, TRS availability indication if trs-ResourceSetConfig is configured, and indication of availability of the PRACH resource configured by rach-Config-Adapt if rach-Config-Adapt is configured, are present in the DCI"
10,"Only short message, TRS availability indication if trs-ResourceSetConfig is configured, and indication of availability of the PRACH resource configured by rach-Config-Adapt if rach-Config-Adapt is configured, are present in the DCI"
11,"Scheduling information for Paging, TRS availability indication if trs-ResourceSetConfig is configured, short message, and indication of availability of the PRACH resource configured by rach-Config-Adapt if rach-Config-Adapt is configured, are present in the DCI"
