,Information fields X1,,,,,,,,,,,,
,"i1,2",,,"i1,6",,"i1,8,1",,,"i1,8,2",,"i1,8,3",,"i1,8,4"
Rank=1,"n=1N0log2PCSI-RS/2K1,σ(n)/2",,,"if N > M=2, N/A otherwise   log2(N-1)",,"log2n=1N0K1,σ(n)M",,,N/A,,N/A,,N/A
Rank=2,"n=1N0log2PCSI-RS/2K1,σ(n)/2",,,"if N > M=2, N/A otherwise  log2(N-1)",,"log2n=1N0K1,σ(n)M",,,"log2n=1N0K1,σ(n)M",,N/A,,N/A
Rank=3,"n=1N0log2PCSI-RS/2K1,σ(n)/2",,,"if N > M=2, N/A otherwise  log2(N-1)",,"log2n=1N0K1,σ(n)M",,,"log2n=1N0K1,σ(n)M",,"log2n=1N0K1,σ(n)M",,N/A
Rank=4,"n=1N0log2PCSI-RS/2K1,σ(n)/2",,,"if N > M=2, N/A otherwise  log2(N-1)",,"log2n=1N0K1,σ(n)M",,,"log2n=1N0K1,σ(n)M",,"log2n=1N0K1,σ(n)M",,"log2n=1N0K1,σ(n)M"
,Information fields X2,,,,,,,,,,,,
,"i2,3,1","i2,3,2","i2,3,3",,"i2,3,4",,"{i2,4,l}l=1,…,υ","{i2,5,l}l=1,…,υ",,"i1,9",,"{i1,7,l}l=1,…,υ",
Rank=1,4,N/A,N/A,,N/A,,3(KNZ-1),4(KNZ-1),,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,"N/A if ; otherwiseKNZ=n=1N0K1,σ(n)Mn=1N0K1,σ(n)M",
Rank=2,4,4,N/A,,N/A,,3(KNZ-2),4(KNZ-2),,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,"N/A if ; otherwiseKNZ=2n=1N0K1,σ(n)M2n=1N0K1,σ(n)M",
Rank=3,4,4,4,,N/A,,3(KNZ-3),4(KNZ-3),,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,"3∙n=1N0K1,σ(n)M",
Rank=4,4,4,4,,4,,3(KNZ-4),4(KNZ-4),,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,"4∙n=1N0K1,σ(n)M",
"NOTE:the bitwidth for ,  and  shown in Table 6.3.2.1.2-2C is the total bitwidth of ,  and  up to Rank = , respectively, and the corresponding per layer bitwidths are , , and 4, (i.e., 1, 3, and 4 bits for each respective indicator elements , , and , respectively), where  as defined in Clause 5.2.2.2.9 in [6, TS 38.214] is the number of nonzero coefficients for layer  such that .{i1,7,l}l=1,…,υ{i2,4,l}l=1,…,υ{i2,5,l}l=1,…,υ{i1,7,l}{i2,4,l}{i2,5,l}υn=1N0K1,σ(n)M3KlNZ-1KlNZ-1kl,i,f,j(3)kl,i,f,j(2)cl,i,f,jKlNZlKNZ=l=1υKlNZ",,,,,,,,,,,,,
