Value,DMRS port
0,1st scheduled DMRS port corresponding to the selected Codeword
1,2nd scheduled DMRS port corresponding to the selected Codeword
2,3rd scheduled DMRS port corresponding to the selected Codeword
3,4th scheduled DMRS port corresponding to the selected Codeword
