Bit field mapped to index,codebookSubset= nonCoherent
0,1 layer: TPMI=0
1,1 layer: TPMI=1
2,1 layer: TPMI=2
3,2 layers: TPMI=0
4,2 layers: TPMI=1
5,2 layers: TPMI=2
6,3 layers: TPMI=0
7,reserved
