CSI report number,CSI fields
CSI report #nCSI part 2 wideband,"Two Layer Indicators as in Table 6.3.1.1.2-3A, where the first Layer Indicator and the second Layer Indicator are associated with the first resource and the second resource within the resource pair respectively and if reported;"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1 associated with the first resource within the CSI-RS resource pair, if reported"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports according to Clause 5.2.2.2.1 in [6, TS38.214] associated with the first CSI-RS resource within the CSI-RS resource pair, if pmi-FormatIndicator= widebandPMI and if reported"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1 associated with the second resource within the CSI-RS resource pair, if reported"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports according to Clause 5.2.2.2.1 in [6, TS38.214] associated with the second CSI-RS resource within the CSI-RS resource pair, if pmi-FormatIndicator= widebandPMI and if reported"
,"Wideband CQI for the second TB as in Tables 6.3.1.1.2-3B, if associated with CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 1 and if reported;Wideband CQI for the second TB as in Tables 6.3.1.1.2-3B, if associated with the first CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Layer Indicator as in Table 6.3.1.1.2-3B, if associated with CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 1 and if reported;Layer Indicator as in Table 6.3.1.1.2-3B, if associated with the first CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, if associated with CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 1 and if reported;PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, if associated with the first CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports according to Clause 5.2.2.2.1 in [6, TS38.214], if associated with CRI in CSI part 1, pmi-FormatIndicator= widebandPMI, numberOfSingleTRP-CSI-Mode1 = 1 and if reported;PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports according to Clause 5.2.2.2.1 in [6, TS38.214], if associated with the first CRI in CSI part 1, pmi-FormatIndicator= widebandPMI, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Wideband CQI for the second TB as in Tables 6.3.1.1.2-3B, if associated with the second CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"Layer Indicator as in Table 6.3.1.1.2-3B, if associated with the second CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, if associated with the second CRI in CSI part 1, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
,"PMI wideband information fields , from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports according to Clause 5.2.2.2.1 in [6, TS38.214], if associated with the second CRI in CSI part 1, pmi-FormatIndicator= widebandPMI, numberOfSingleTRP-CSI-Mode1 = 2 and if reported"
