,Information field  for wideband PMIX1,,,,,Information field  for wideband PMI or per subband PMIX2
,"(,)i1,1 i1,2","i1,3","()i1,1,2, i1,2,2","()i1,1,3, i1,2,3","()i1,1,4, i1,2,4",i2
Rank = 1,"(,)log2N1O1 log2N2O2",N/A,N/A,N/A,N/A,2
"Rank=2, 3 or 4","(,)log2N1O1 log2N2O2",2,N/A,N/A,N/A,1
"Rank=5 or 6,","(,)log2N1O1 log2N2O2",1,"If , (, );If , (, ).i1,3=0log2N1log2N2O2i1,3=1log2N1O1log2N2","If , (, );If , (, ).i1,3=0log2N1log2N2O2i1,3=1log2N1O1log2N2",N/A,1
Rank=7 or 8,"(,)log2N1O1 log2N2O2",1,"If , (, );If , (, ).i1,3=0log2N1log2N2O2i1,3=1log2N1O1log2N2","If , (, );If , (, ).i1,3=0log2N1log2N2O2i1,3=1log2N1O1log2N2","If , (, );If , (, ).i1,3=0log2N1log2N2O2i1,3=1log2N1O1log2N2",1
