,"SRI(s) for 4 layers, NSRS=5","SRI(s) for 4 layers, NSRS=6","SRI(s) for 4 layers, NSRS=7","SRI(s) for 4 layers, NSRS=8"
"s00,s10,s20,s30","0,1,2,3","0,1,2,3","0,1,2,3","0,1,2,3"
"s01,s11,s21,s31","0,1,2,4","0,1,2,4","0,1,2,4","0,1,2,4"
"s02,s12,s22,s32","0,1,3,4","0,1,2,5","0,1,2,5","0,1,2,5"
"s03,s13,s23,s33","0,2,3,4","0,1,3,4","0,1,2,6","0,1,2,6"
"s04,s14,s24,s34","1,2,3,4","0,1,3,5","0,1,3,4","0,1,2,7"
"s05,s15,s25,s35",,"0,1,4,5","0,1,3,5","0,1,3,4"
"s06,s16,s26,s36",,"0,2,3,4","0,1,3,6","0,1,3,5"
"s07,s17,s27,s37",,"0,2,3,5","0,1,4,5","0,1,3,6"
"s08,s18,s28,s38",,"0,2,4,5","0,1,4,6","0,1,3,7"
"s09,s19,s29,s39",,"0,3,4,5","0,1,5,6","0,1,4,5"
"s010,s110,s210,s310",,"1,2,3,4","0,2,3,4","0,1,4,6"
"s011,s111,s211,s311",,"1,2,3,5","0,2,3,5","0,1,4,7"
"s012,s112,s212,s312",,"1,2,4,5","0,2,3,6","0,1,5,6"
"s013,s113,s213,s313",,"1,3,4,5","0,2,4,5","0,1,5,7"
"s014,s114,s214,s314",,"2,3,4,5","0,2,4,6","0,1,6,7"
"s015,s115,s215,s315",,,"0,2,5,6","0,2,3,4"
"s016,s116,s216,s316",,,"0,3,4,5","0,2,3,5"
"s017,s117,s217,s317",,,"0,3,4,6","0,2,3,6"
"s018,s118,s218,s318",,,"0,3,5,6","0,2,3,7"
"s019,s119,s219,s319",,,"0,4,5,6","0,2,4,5"
"s020,s120,s220,s320",,,"1,2,3,4","0,2,4,6"
"s021,s121,s221,s321",,,"1,2,3,5","0,2,4,7"
"s022,s122,s222,s322",,,"1,2,3,6","0,2,5,6"
"s023,s123,s223,s323",,,"1,2,4,5","0,2,5,7"
"s024,s124,s224,s324",,,"1,2,4,6","0,2,6,7"
"s025,s125,s225,s325",,,"1,2,5,6","0,3,4,5"
"s026,s126,s226,s326",,,"1,3,4,5","0,3,4,6"
"s027,s127,s227,s327",,,"1,3,4,6","0,3,4,7"
"s028,s128,s228,s328",,,"1,3,5,6","0,3,5,6"
"s029,s129,s229,s329",,,"1,4,5,6","0,3,5,7"
"s030,s130,s230,s330",,,"2,3,4,5","0,3,6,7"
"s031,s131,s231,s331",,,"2,3,4,6","0,4,5,6"
"s032,s132,s232,s332",,,"2,3,5,6","0,4,5,7"
"s033,s133,s233,s333",,,"2,4,5,6","0,4,6,7"
"s034,s134,s234,s334",,,"3,4,5,6","0,5,6,7"
"s035,s135,s235,s335",,,,"1,2,3,4"
"s036,s136,s236,s336",,,,"1,2,3,5"
"s037,s137,s237,s337",,,,"1,2,3,6"
"s038,s138,s238,s338",,,,"1,2,3,7"
"s039,s139,s239,s339",,,,"1,2,4,5"
"s040,s140,s240,s340",,,,"1,2,4,6"
"s041,s141,s241,s341",,,,"1,2,4,7"
"s042,s142,s242,s342",,,,"1,2,5,6"
"s043,s143,s243,s343",,,,"1,2,5,7"
"s044,s144,s244,s344",,,,"1,2,6,7"
"s045,s145,s245,s345",,,,"1,3,4,5"
"s046,s146,s246,s346",,,,"1,3,4,6"
"s047,s147,s247,s347",,,,"1,3,4,7"
"s048,s148,s248,s348",,,,"1,3,5,6"
"s049,s149,s249,s349",,,,"1,3,5,7"
"s050,s150,s250,s350",,,,"1,3,6,7"
"s051,s151,s251,s351",,,,"1,4,5,6"
"s052,s152,s252,s352",,,,"1,4,5,7"
"s053,s153,s253,s353",,,,"1,4,6,7"
"s054,s154,s254,s354",,,,"1,5,6,7"
"s055,s155,s255,s355",,,,"2,3,4,5"
"s056,s156,s256,s356",,,,"2,3,4,6"
"s057,s157,s257,s357",,,,"2,3,4,7"
"s058,s158,s258,s358",,,,"2,3,5,6"
"s059,s159,s259,s359",,,,"2,3,5,7"
"s060,s160,s260,s360",,,,"2,3,6,7"
"s061,s161,s261,s361",,,,"2,4,5,6"
"s062,s162,s262,s362",,,,"2,4,5,7"
"s063,s163,s263,s363",,,,"2,4,6,7"
"s064,s164,s264,s364",,,,"2,5,6,7"
"s065,s165,s265,s365",,,,"3,4,5,6"
"s066,s166,s266,s366",,,,"3,4,5,7"
"s067,s167,s267,s367",,,,"3,4,6,7"
"s068,s168,s268,s368",,,,"3,5,6,7"
"s069,s169,s269,s369",,,,"4,5,6,7"
