Bit field mapped to index,"SRI(s),",Bit field mapped to index,"SRI(s),",Bit field mapped to index,"SRI(s),"
0,0,0,0,0,0
1,1,1,1,1,1
,,2,2,2,2
,,3,reserved,3,3
