Value of MSB,DMRS port,,Value of LSB,DMRS port
0,1st scheduled DMRS port  corresponding to SRS resource indicator field and/or Precoding information and number of layers field,,0,1st scheduled DMRS port corresponding to Second SRS resource indicator field and/or Second Precoding information field
1,2nd scheduled DMRS port  corresponding to SRS resource indicator field and/or Precoding information and number of layers field,,1,2nd scheduled DMRS port corresponding to Second SRS resource indicator field and/or Second Precoding information field
