,Information fields X1,,,,,,,,,
,"i1,1",,"i1,2",,"i1,8,1","i1,8,2",,"i1,8,3",,"i1,8,4"
Rank=1N3≤19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2KNZ,N/A,,N/A,,N/A
Rank=2N3≤19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2(n=1N02Lσ(n)),log2(n=1N02Lσ(n)),,N/A,,N/A
Rank=3N3≤19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2(n=1N02Lσ(n)),log2(n=1N02Lσ(n)),,log2(n=1N02Lσ(n)),,N/A
Rank=4N3≤19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2(n=1N02Lσ(n)),log2(n=1N02Lσ(n)),,log2(n=1N02Lσ(n)),,log2(n=1N02Lσ(n))
Rank=1N3>19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2KNZ,N/A,,N/A,,N/A
Rank=2N3>19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2(n=1N02Lσ(n)),log2(n=1N02Lσ(n)),,N/A,,N/A
Rank=3N3>19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2(n=1N02Lσ(n)),log2(n=1N02Lσ(n)),,log2(n=1N02Lσ(n)),,N/A
Rank=4N3>19,N0log2(O1O2),,n=1N0log2N1N2Lσ(n),,log2(n=1N02Lσ(n)),log2(n=1N02Lσ(n)),,log2(n=1N02Lσ(n)),,log2(n=1N02Lσ(n))
,Information fields X2,,,,,,,,,
,"i2,3,1","i2,3,2",,"i2,3,3","i2,3,4",,"i1,5",,"i1,6,1","i1,6,2"
Rank=1N3≤19,4,N/A,,N/A,N/A,,N/A,,log2N3-1M1-1,N/A
Rank=2N3≤19,4,4,,N/A,N/A,,N/A,,log2N3-1M2-1,log2N3-1M2-1
Rank=3N3≤19,4,4,,4,N/A,,N/A,,log2N3-1M3-1,log2N3-1M3-1
Rank=4N3≤19,4,4,,4,4,,N/A,,log2N3-1M4-1,log2N3-1M4-1
Rank=1N3>19,4,N/A,,N/A,N/A,,log2(2M1),,log22M1-1M1-1,N/A
Rank=2N3>19,4,4,,N/A,N/A,,log2(2M2),,log22M2-1M2-1,log22M2-1M2-1
Rank=3N3>19,4,4,,4,N/A,,log2(2M3),,log22M3-1M3-1,log22M3-1M3-1
Rank=4N3>19,4,4,,4,4,,log2(2M4),,log22M4-1M4-1,log22M4-1M4-1
,Information fields X2,,,,,,,,,
,"i1,6,3",,,"i1,6,4","i1,9",,"{i2,4,l}l=1,…,υ",,"{i2,5,l}l=1,…,υ","{i1,7,l}l=1,…,υ"
Rank=1N3≤19,N/A,,,N/A,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,3(KNZ-1),,4(KNZ-1),2∙n=1N0Lσ(n)M1
Rank=2N3≤19,N/A,,,N/A,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,3(KNZ-2),,4(KNZ-2),4∙n=1N0Lσ(n)M2
Rank=3N3≤19,log2N3-1M3-1,,,N/A,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,3(KNZ-3),,4(KNZ-3),6∙n=1N0Lσ(n)M3
Rank=4N3≤19,log2N3-1M4-1,,,log2N3-1M4-1,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,3(KNZ-4),,4(KNZ-4),8∙n=1N0Lσ(n)M4
Rank=1N3>19,N/A,,,N/A,"if Mode1 is configured, NA otherwiseN0-1log2O3N3",,3(KNZ-1),,4(KNZ-1),2∙n=1N0Lσ(n)M1
Rank=2N3>19,N/A,,,N/A,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,3(KNZ-2),,4(KNZ-2),4∙n=1N0Lσ(n)M2
Rank=3N3>19,log22M3-1M3-1,,,N/A,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,3(KNZ-3),,4(KNZ-3),6∙n=1N0Lσ(n)M3
Rank=4N3>19,log22M4-1M4-1,,,log22M4-1M4-1,"if Mode1 is configured, NA otherwise(N0-1)log2O3N3",,3(KNZ-4),,4(KNZ-4),8∙n=1N0Lσ(n)M4
"NOTE:the bitwidth for ,  and  shown in Table 6.3.2.1.2-1B is the total bitwidth of ,  and  up to Rank = , respectively, and the corresponding per layer bitwidths are , , and 4, (i.e., 1, 3, and 4 bits for each respective indicator elements , , and , respectively), where  as defined in Clause 5.2.2.2.8 in [6, TS 38.214] is the number of nonzero coefficients for layer  such that .{i1,7,l}l=1,…,υ{i2,4,l}l=1,…,υ{i2,5,l}l=1,…,υ{i1,7,l}{i2,4,l}{i2,5,l}υ2n=1N0Lσ(n)Mυ3KlNZ-1KlNZ-1kl,i,f,j(3)kl,i,f,j(2)cl,i,f,jKlNZlKNZ=l=1υKlNZ",,,,,,,,,,
