CSI report number,CSI fields
"CSI report #nCSI part 2, group 0","PMI fields , from left to right as in Table 6.3.2.1.2-1C, if reported;The second time-domain wideband CQI as in Table 6.3.2.1.2-8B, if present and reportedX1"
"CSI report #nCSI part 2, group 1","The following PMI fields , from left to right, as in Table 6.3.2.1.2-1C:, , , , and  highest priority bits of highest priority bits of  and highest priority bits of, in decreasing order of priority based on the corresponding function  for  or  for  defined in clause 5.2.3 of TS 38.214 [6], if present and if reported;The second time-domain subband differential CQI of all even subbands with increasing order of subband number, as in Table 6.3.2.1.2-8B, if present and if reportedX2 i2,3,l:l=1,…,υi1,5i1,6,l:l=1,…,υi1,10,l:l=1,…,υmax⁡(0,KNZ2-υ)×3i2,4,l:l=1,…,υ,max⁡(0,KNZ2-υ)×4{i2,5,l:l=1,…,υ} ν*2LMυQ-KNZ/2i1,7,l:l=1,…,υPril,i,fN4=1Pril,i,f,jN4>1"
"CSI report #nCSI part 2, group 2","The following PMI fields , from left to right, as in Table 6.3.2.1.2-1C lowest priority bits of  lowest priority bits of  and  lowest priority bits of , in decreasing order of priority based on the corresponding function  for  or  for  defined in clause 5.2.3 of TS 38.214 [6], if reported;The second time-domain subband differential CQI of all odd subbands with increasing order of subband number, as in Table 6.3.2.1.2-8B, if present and if reportedX2: minKNZ-v, KNZ2×3i2,4,l:l=1,…,υ,minKNZ-v, KNZ2×4i2,5,l:l=1,…,υKNZ/2i1,7,l:l=1,…,υPril,i,fN4=1Pril,i,f,jN4>1"
