Field,Bitwidth
Predicted CRI,log2KsCSI-RS
Predicted SSBRI,log2KsSSB
Predicted RSRP,7
Differential predicted RSRP,4
Time instance indicator,log2N
"NOTE: is the number of CSI-RS resources in the resource set configured by resourcesForSetA,  is the number of SS/PBCH blocks in the resource set configured by resourcesForSetA, and  is the number of predicted time instances configured by nroftimeinstance.KsCSI-RSKsSSBN",
