Bit field mapped to index,Channel Access Type
0,Type 1 channel access defined in clause 4.4.1 of TS 37.213 [14]
1,Type 2 channel access defined in clause 4.4.2 of TS 37.213 [14]
2,Type 3 channel access defined in clause 4.4.3 of TS 37.213 [14]
3,Reserved
