UCI bit sequence,CSI report number
,CSI part 1 of CSI report #1 as in Table 6.3.2.1.2-3/3A/3B/3C/3D/3E/3F/3G/3H/3I/3J/3K or Table 6.3.1.1.2-7/8/8A/8B/8C/8D/8E/8F/8G/8H
,CSI part 1 of CSI report #2 as in Table 6.3.2.1.2-3/3A/3B/3C/3D/3E/3F/3G/3H/3I/3J/3K or Table 6.3.1.1.2-8/8A/8B/8C/8D/8E/8F/8G/8H
,…
,CSI part 1 of CSI report #n as in Table 6.3.2.1.2-3/3A/3B/3C/3D/3E/3F/3G/3H/3I/3J/3K or Table 6.3.1.1.2-8/8A/8B/8C/8D/8E/8F/8G/8H
"NOTE:For a CSI report #i containing  CSI sub-reports, where , CSI part 1 of all CSI sub-reports are mapped to the corresponding segment of the UCI bit sequence of CSI report #i, from upper part to lower part of the segment, in increasing order of CSI sub-report number. CSI sub-report #1, CSI sub-report #2, …, CSI sub-report # correspond to the CSI sub-reports in increasing order of reportSubConfigId.Nisubi∈{1,2,…,n}Nisub",
