CSI report number,CSI fields
CSI report #n,"The first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Rank Indicator for the first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Layer Indicator for the first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Zero padding bits  for the first reported CRI, if neededOP,1"
,"PMI wideband information fields  for the first reported CRI, from left to right as in Tables 6.3.1.1.2-1, if reportedX1"
,"PMI wideband information fields  for the first reported CRI, from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports for the first reported CRI according to Clause 5.2.2.2.1 in [6, TS38.214], if reportedX2"
,"Wideband CQI for the first TB for the first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Wideband CQI for the second TB for the first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,…
,"The M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Rank Indicator for the M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Layer Indicator for the M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Zero padding bits  for the M-th reported CRI, if neededOP,M"
,"PMI wideband information fields  for the M-th reported CRI, from left to right as in Tables 6.3.1.1.2-1, if reportedX1"
,"PMI wideband information fields  for the M-th reported CRI, from left to right as in Tables 6.3.1.1.2-1, or codebook index for 2 antenna ports for the M-th reported CRI according to Clause 5.2.2.2.1 in [6, TS38.214], if reportedX2"
,"Wideband CQI for the first TB for the M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Wideband CQI for the second TB for the M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
