Value of SRS request field,Triggered aperiodic SRS resource set(s) for DCI format 0_2 and 1_2
0,No aperiodic SRS resource set triggered
1,SRS resource set(s) configured with higher layer parameter aperiodicSRS-ResourceTrigger set to 1 or an entry in aperiodicSRS-ResourceTriggerList set to 1
