Value,Number of DMRS CDM group(s) without data,DMRS port(s),Orthogonal sequence index for OCC length =2,Orthogonal sequence index for OCC length =4
0,2,0,0,0
1,2,1,1,1
2,2,2,0,2
3,2,3,1,3
"NOTE:The two columns for orthogonal sequence index in this table are applicable only when OCC length 2 or 4 is indicated by the field of Time domain resource assignment in DCI format 0_1 or DCI format 0_2. The corresponding orthogonal sequence of an orthogonal sequence index is as defined in Table 6.3.2.5A-1 or Table 6.3.2.5A-2 of [4, TS 38.211].",,,,
