Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,1,"0,1"
1,2,"0,1"
2,2,"2,3"
3,2,"0,2"
4,1,"8,9"
5,2,"8,9"
6,2,"10,11"
7,2,"9,11"
8-15,Reserved,Reserved
