Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,2,0-2
1,2,8-10
2,1,"0,1,8"
3,2,"0,1,8"
4,2,"2,3,10"
5,2,"0,2,3"
6-15,Reserved,Reserved
