Bit field mapped to index,"SRI(s),",Bit field mapped to index,"SRI(s),",Bit field mapped to index,"SRI(s),"
0,0,0,0,0,0
1,1,1,1,1,1
2,"0,1",2,2,2,2
3,reserved,3,"0,1",3,3
,,4,"0,2",4,"0,1"
,,5,"1,2",5,"0,2"
,,6-7,reserved,6,"0,3"
,,,,7,"1,2"
,,,,8,"1,3"
,,,,9,"2,3"
,,,,10-15,reserved
