Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,2,0-3
1,2,8-11
2,1,"0,1,8,9"
3,2,"0,1,8,9"
4,2,"2,3,10,11"
5-15,Reserved,Reserved
