"Maximum number of PRBs across all configured DL BWPs and UL BWPs of a carrier for DL-SCH and UL-SCH, respectively,orMaximum number of PRBs across all CFRs of a carrier for DL-SCH with PDSCH scheduled by DCI format 4_0/4_1/4_2",
Less than 33,32
33 to 66,66
67 to 107,107
108 to 135,135
136 to 162,162
163 to 217,217
Larger than 217,273
