Field,Bitwidth
CRI,
SSBRI,
RSRP,7
Differential RSRP,4
CapabilityIndex,2
"NOTE: is the number of CSI-RS resources in the corresponding resource set,   is the configured number of SS/PBCH blocks in the corresponding resource set for reporting 'ssb-Index-RSRP' or 'ssb-Index-RSRP-Index'.KsCSI-RSKsSSB",
