,Information fields  for widebandX1,,,,,,,,,,,Information fields  for wideband or per subbandX2,,,
,"(, )i1,1,1i1,2,1","i1,3,1","(, )i1,1,2i1,2,2","i1,3,2","(, )i1,1,3i1,2,3","i1,3,3","(, )i1,1,4i1,2,4","i1,3,4","i1,4,1","i1,4,2","i1,4,3","i2,1","i2,2","i2,3","i2,4"
Rank=1 with Ng=2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,N/A,N/A,N/A,N/A,2,N/A,N/A,2,2,N/A,N/A
Rank=1 with Ng=4,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,2,2,2,2,2,2,2
Rank=2 with Ng=2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,N/A,N/A,N/A,N/A,2,N/A,N/A,1,1,N/A,N/A
Rank=2 with Ng=4,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,2,2,2,1,1,1,1
Rank=3 with Ng=2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,N/A,N/A,N/A,N/A,2,N/A,N/A,1,1,N/A,N/A
Rank=3 with Ng=4,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,2,2,2,1,1,1,1
Rank=4 with Ng=2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,N/A,N/A,N/A,N/A,2,N/A,N/A,1,1,N/A,N/A
Rank=4 with Ng=4,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,"(,)log2N1O1 log2N2O2",2,2,2,2,1,1,1,1
