,Information field  for wideband PMIX1,,,,,,Information field  for wideband PMI or per subband PMIX2,,,
,"i1,1","i1,2,1","i1,2,2","i1,2,3","i1,2,4","i1,2","i2,1","i2,2","i2,3","i2,4"
Rank=1,log2(O1O2),log2N1N2,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A
Rank=2,log2(O1O2),log2N1N2,log2N1N2,N/A,N/A,N/A,2,2,N/A,N/A
Rank=3,log2(O1O2),log2N1N2,log2N1N2,log2N1N2,N/A,N/A,2,2,2,N/A
Rank= 4,log2(O1O2),log2N1N2,log2N1N2,log2N1N2,log2N1N2,N/A,2,2,2,2
Rank=5,log2(O1O2),N/A,N/A,N/A,N/A,log2N1N23,1,1,2,N/A
Rank=6,log2(O1O2),N/A,N/A,N/A,N/A,log2N1N23,1,1,1,N/A
Rank=7,log2(O1O2),N/A,N/A,N/A,N/A,log2N1N24,1,2,1,1
Rank=8,log2(O1O2),N/A,N/A,N/A,N/A,log2N1N24,1,1,1,1
