,"SRI(s) for 6 layers, NSRS=7","SRI(s) for 6 layers, NSRS=8"
"s00,s10,s20,s30,s40,s50","0,1,2,3,4,5","0,1,2,3,4,5"
"s01,s11,s21,s31,s41,s51","0,1,2,3,4,6","0,1,2,3,4,6"
"s02,s12,s22,s32,s42,s52","0,1,2,3,5,6","0,1,2,3,4,7"
"s03,s13,s23,s33,s43,s53","0,1,2,4,5,6","0,1,2,3,5,6"
"s04,s14,s24,s34,s44,s54","0,1,3,4,5,6","0,1,2,3,5,7"
"s05,s15,s25,s35,s45,s55","0,2,3,4,5,6","0,1,2,3,6,7"
"s06,s16,s26,s36,s46,s56","1,2,3,4,5,6","0,1,2,4,5,6"
"s07,s17,s27,s37,s47,s57",,"0,1,2,4,5,7"
"s08,s18,s28,s38,s48,s58",,"0,1,2,4,6,7"
"s09,s19,s29,s39,s49,s59",,"0,1,2,5,6,7"
"s010,s110,s210,s310,s410,s510",,"0,1,3,4,5,6"
"s011,s111,s211,s311,s411,s511",,"0,1,3,4,5,7"
"s012,s112,s212,s312,s412,s512",,"0,1,3,4,6,7"
"s013,s113,s213,s313,s413,s513",,"0,1,3,5,6,7"
"s014,s114,s214,s314,s414,s514",,"0,1,4,5,6,7"
"s015,s115,s215,s315,s415,s515",,"0,2,3,4,5,6"
"s016,s116,s216,s316,s416,s516",,"0,2,3,4,5,7"
"s017,s117,s217,s317,s417,s517",,"0,2,3,4,6,7"
"s018,s118,s218,s318,s418,s518",,"0,2,3,5,6,7"
"s019,s119,s219,s319,s419,s519",,"0,2,4,5,6,7"
"s020,s120,s220,s320,s420,s520",,"0,3,4,5,6,7"
"s021,s121,s221,s321,s421,s521",,"1,2,3,4,5,6"
"s022,s122,s222,s322,s422,s522",,"1,2,3,4,5,7"
"s023,s123,s223,s323,s423,s523",,"1,2,3,4,6,7"
"s024,s124,s224,s324,s424,s524",,"1,2,3,5,6,7"
"s025,s125,s225,s325,s425,s525",,"1,2,4,5,6,7"
"s026,s126,s226,s326,s426,s526",,"1,3,4,5,6,7"
"s027,s127,s227,s327,s427,s527",,"2,3,4,5,6,7"
