,,Information fields X1,,,,,,,,,,,,,,,,,,
,,"i1,1",,,,"i1,2",,,,"i1,8,1",,,"i1,8,2",,,"i1,8,3",,,"i1,8,4",
Rank=1N3≤19,,log2(O1O2),,,,log2N1N2L,,,,log2KNZ,,,N/A,,,N/A,,,N/A,
Rank=2N3≤19,,log2(O1O2),,,,log2N1N2L,,,,log2(2LQ),,,log2(2LQ),,,N/A,,,N/A,
Rank=3N3≤19,,log2(O1O2),,,,log2N1N2L,,,,log2(2LQ),,,log2(2LQ),,,log2(2LQ),,,N/A,
Rank=4N3≤19,,log2(O1O2),,,,log2N1N2L,,,,log2(2LQ),,,log2(2LQ),,,log2(2LQ),,,log2(2LQ),
Rank=1N3>19,,log2(O1O2),,,,log2N1N2L,,,,log2KNZ,,,N/A,,,N/A,,,N/A,
Rank=2N3>19,,log2(O1O2),,,,log2N1N2L,,,,log2(2LQ),,,log2(2LQ),,,N/A,,,N/A,
Rank=3N3>19,,log2(O1O2),,,,log2N1N2L,,,,log2(2LQ),,,log2(2LQ),,,log2(2LQ),,,N/A,
Rank=4N3>19,,log2(O1O2),,,,log2N1N2L,,,,log2(2LQ),,,log2(2LQ),,,log2(2LQ),,,log2(2LQ),
,Information fields X2,,,,,,,,,,,,,,,,,,,
,"i2,3,1","i2,3,2","i2,3,3",,"i2,3,4",,"i1,5",,"i1,6,1",,,"i1,6,2",,,"i1,6,3",,,"i1,6,4",,
Rank=1N3≤19,4,N/A,N/A,,N/A,,N/A,,log2N3-1M1-1,,,N/A,,,N/A,,,N/A,,
Rank=2N3≤19,4,4,N/A,,N/A,,N/A,,log2N3-1M2-1,,,log2N3-1M2-1,,,N/A,,,N/A,,
Rank=3N3≤19,4,4,4,,N/A,,N/A,,log2N3-1M3-1,,,log2N3-1M3-1,,,log2N3-1M3-1,,,N/A,,
Rank=4N3≤19,4,4,4,,4,,N/A,,log2N3-1M4-1,,,log2N3-1M4-1,,,log2N3-1M4-1,,,log2N3-1M4-1,,
Rank=1N3>19,4,N/A,N/A,,N/A,,log2(2M1),,log22M1-1M1-1,,,N/A,,,N/A,,,N/A,,
Rank=2N3>19,4,4,N/A,,N/A,,log2(2M2),,log22M2-1M2-1,,,log22M2-1M2-1,,,N/A,,,N/A,,
Rank=3N3>19,4,4,4,,N/A,,log2(2M3),,log22M3-1M3-1,,,log22M3-1M3-1,,,log22M3-1M3-1,,,N/A,,
Rank=4N3>19,4,4,4,,4,,log2(2M4),,log22M4-1M4-1,,,log22M4-1M4-1,,,log22M4-1M4-1,,,log22M4-1M4-1,,
,Information fields X2,,,,,,,,,,,,,,,,,,,
,"i1,10,1",,,"i1,10,2",,,,"i1,10,3",,,"i1,10,4",,,"{i2,4,l}l=1,…,υ",,,"{i2,5,l}l=1,…,υ",,,"{i1,7,l}l=1,…,υ"
Rank=1N3≤19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,NA,,,,NA,,,NA,,,3(KNZ-1),,,4(KNZ-1),,,2LM1Q
Rank=2N3≤19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,,NA,,,NA,,,3(KNZ-2),,,4(KNZ-2),,,4LM2Q
Rank=3N3≤19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,NA,,,3(KNZ-3),,,4(KNZ-3),,,6LM3Q
Rank=4N3≤19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,3(KNZ-4),,,4(KNZ-4),,,8LM4Q
Rank=1N3>19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,NA,,,,NA,,,NA,,,3(KNZ-1),,,4(KNZ-1),,,2LM1Q
Rank=2N3>19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,,NA,,,NA,,,3(KNZ-2),,,4(KNZ-2),,,4LM2Q
Rank=3N3>19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,NA,,,3(KNZ-3),,,4(KNZ-3),,,6LM3Q
Rank=4N3>19,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,"if  and Q=2, NA otherwiselog2N4-1N4>2",,,3(KNZ-4),,,4(KNZ-4),,,8LM4Q
"NOTE:the bitwidth for ,  and  shown in Table 6.3.2.1.2-1C is the total bitwidth of ,  and  up to Rank = , respectively, and the corresponding per layer bitwidths are , , and 4, (i.e., 1, 3, and 4 bits for each respective indicator elements , , and , respectively), where  as defined in Clause 5.2.2.2.10 in [6, TS 38.214] is the number of nonzero coefficients for layer  such that .{i1,7,l}l=1,…,υ{i2,4,l}l=1,…,υ{i2,5,l}l=1,…,υ{i1,7,l}{i2,4,l}{i2,5,l}υ2LMυQ3KlNZ-1KlNZ-1kl,i,f,τ(3)kl,i,f,τ(2)cl,i,f,τKlNZlKNZ=l=1υKlNZ",,,,,,,,,,,,,,,,,,,,
