Bit field mapped to index,codebookSubset= nonCoherent
0,1 layer: TPMI=0
1,1 layer: TPMI=1
2,1 layer: TPMI=2
3,reserved
0,2 layers: TPMI=0
1,2 layers: TPMI=1
2,2 layers: TPMI=2
3,reserved
0,3 layers: TPMI=0
1-3,reserved
