CSI report number,CSI fields
"CSI report #nCSI part 2, group 0","PMI fields , from left to right as in Table 6.3.2.1.2-2C, if reportedX1"
"CSI report #nCSI part 2, group 1","The following PMI fields , from left to right, as in Table 6.3.2.1.2-2C: highest priority bits of highest priority bits of ,  and highest priority bits of, in decreasing order of priority based on the corresponding function  defined in clause 5.2.3 of TS 38.214 [6] where  is equivalent to , if present and if reportedX2 i2,3,l:l=1,…,υ (max⁡(0,KNZ2-υ))×3i2,4,l:l=1,…,υ,(max⁡(0,KNZ2-υ))×4{i2,5,l:l=1,…,υ}i1,9 ν*n=1N0K1,σ(n)M-KNZ/2i1,7,l:l=1,…,υPril, ij,f,jjn"
"CSI report #nCSI part 2, group 2","The following PMI fields , from left to right, as in Table 6.3.2.1.2-2C lowest priority bits of  lowest priority bits of  and  lowest priority bits of , in decreasing order of priority based on the corresponding function  defined in clause 5.2.3 of TS 38.214 [6] where  is equivalent to , if reportedX2: (minKNZ-v, KNZ2)×3i2,4,l:l=1,…,υ,(minKNZ-v, KNZ2)×4i2,5,l:l=1,…,υKNZ/2i1,7,l:l=1,…,υPril, ij,f,jjn"
