Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,1,0
1,1,1
2,2,0
3,2,1
4,2,2
5,2,3
6,3,0
7,3,1
8,3,2
9,3,3
10,3,4
11,3,5
12-15,Reserved,Reserved
