Bit field mapped to index,SRS resource set indication
0,"SRS resource indicator field and Precoding information and number of layers field are associated with the first SRS resource set;Second SRS resource indicator field and Second Precoding information field are reserved;If there are two indicated joint/UL TCI states, the first indicated joint/UL TCI state is applied to the corresponding PUSCH transmission occasions."
1,"SRS resource indicator field and Precoding information and number of layers field are associated with the second SRS resource set;Second SRS resource indicator field and Second Precoding information field are reserved;If there are two indicated joint/UL TCI states, the second indicated joint/UL TCI state is applied to the corresponding PUSCH transmission occasions."
2,"SRS resource indicator field and Precoding information and number of layers field are associated with the first SRS resource set;Second SRS resource indicator field and Second Precoding information field are associated with the second SRS resource set;If there are two indicated joint/UL TCI states, the first indicated joint/UL TCI state is applied to the PUSCH transmission occasions/antenna ports associated with the first SRS resource set, and the second indicated joint/UL TCI state is applied to the PUSCH transmission occasions/antenna ports associated with the second SRS resource set."
3,"SRS resource indicator field and Precoding information and number of layers field are associated with the first SRS resource set;Second SRS resource indicator field and Second Precoding information field are associated with the second SRS resource set;If there are two indicated joint/UL TCI states, the first indicated joint/UL TCI state is applied to the PUSCH transmission occasions associated with the first SRS resource set, and the second indicated joint/UL TCI state is applied to the PUSCH transmission occasions associated with the second SRS resource set.If multipanelSchemeSDM or multipanelSchemeSFN is configured, this row is reserved."
"NOTE 1:The first and the second SRS resource sets are respectively the ones with lower and higher srs-ResourceSetId of the two SRS resources sets configured by higher layer parameter srs-ResourceSetToAddModList or srs-ResourceSetToAddModListDCI-0-2, and associated with the higher layer parameter usage of value 'nonCodeBook' if txConfig=nonCodebook or 'codebook' if txConfig=codebook. When only one SRS resource set is configured by higher layer parameter srs-ResourceSetToAddModList or srs-ResourceSetToAddModListDCI-0-2, and associated with the higher layer parameter usage of value 'codebook' or 'nonCodeBook' respectively, the first SRS resource set is the SRS resource set. The association of the first and second SRS resource sets to PUSCH repetitions for each bit field index value is as defined in Clause 6.1.2.1 of TS 38.214 [6].NOTE 2:For DCI format 0_2, the first and second SRS resource sets configured by higher layer parameter srs-ResourceSetToAddModListDCI-0-2 are composed of the first  SRS resources together with other configurations in the first and second SRS resource sets configured by higher layer parameter srs-ResourceSetToAddModList, if any, and associated with the higher layer parameter usage of value 'codebook' or 'nonCodeBook', respectively, except for the higher layer parameters 'srs-ResourceSetId' and 'srs-ResourceIdList'.NSRS, 0_2",
