Bit field,RACH occasion indicator
0,"The RACH occasion for the PRACH transmission is from the first PRACH occasions as defined in Clause 8 of [5, TR38.213]"
1,"The RACH occasion for the PRACH transmission is from the second PRACH occasions as defined in Clause 8 of [5, TR38.213]"
