Value of MSB,DMRS port,,Value of LSB,DMRS port
0,1st DMRS port which shares PTRS port 0,,0,1st DMRS port which shares PTRS port 1
1,2nd DMRS port which shares PTRS port 0,,1,2nd DMRS port which shares PTRS port 1
