Field,Bitwidth
HARQ process number,5 if nrofHARQ-Processes-v1700 in ConfiguredGrantConfig is configured;4 otherwise.
Redundancy version,2
New data indicator,1
Channel Occupancy Time (COT) sharing information,"if both higher layer parameter ul-toDL-COT-SharingED-Threshold and higher layer parameter cg-COT-SharingList are configured, or if both higher layer parameter semiStaticChannelAccessConfigUE and higher layer parameter cg-COT-SharingList are configured, or if higher layer parameter cg-COT-SharingList is configured in frequency range 2-2, where C is the number of combinations configured in cg-COT-SharingList; 1 if higher layer parameter ul-toDL-COT-SharingED-Threshold is not configured, and if higher layer parameter semiStaticChannelAccessConfigUE is not configured, and if higher layer parameter cg-COT-SharingOffset is configured;0 otherwise.If a UE indicates COT sharing other than ""no sharing"" in a CG PUSCH within the UE's initiated COT, the UE should provide consistent COT sharing information in all the subsequent CG PUSCHs, if any, occurring within the same UE's initiated COT such that the same DL starting point and duration are maintained.log2C"
